,Pclass,Sex,Age,Fare
499,3,0,24.0,7.7958
500,3,0,17.0,8.6625
501,3,1,21.0,7.75
502,3,1,29.0,7.6292
503,3,1,37.0,9.5875
504,1,1,16.0,86.5
505,1,0,18.0,108.9
506,2,1,33.0,26.0
507,1,0,29.0,26.55
508,3,0,28.0,22.525
509,3,0,26.0,56.4958
510,3,0,29.0,7.75
511,3,0,29.0,8.05
512,1,0,36.0,26.2875
513,1,1,54.0,59.4
514,3,0,24.0,7.4958
515,1,0,47.0,34.0208
516,2,1,34.0,10.5
517,3,0,29.0,24.15
518,2,1,36.0,26.0
519,3,0,32.0,7.8958
520,1,1,30.0,93.5
521,3,0,22.0,7.8958
522,3,0,29.0,7.225
523,1,1,44.0,57.9792
524,3,0,29.0,7.2292
525,3,0,40.5,7.75
526,2,1,50.0,10.5
527,1,0,29.0,221.7792
528,3,0,39.0,7.925
529,2,0,23.0,11.5
530,2,1,2.0,26.0
531,3,0,29.0,7.2292
532,3,0,17.0,7.2292
533,3,1,29.0,22.3583
534,3,1,30.0,8.6625
535,2,1,7.0,26.25
536,1,0,45.0,26.55
537,1,1,30.0,106.425
538,3,0,29.0,14.5
539,1,1,22.0,49.5
540,1,1,36.0,71.0
541,3,1,9.0,31.275
542,3,1,11.0,31.275
543,2,0,32.0,26.0
544,1,0,50.0,106.425
545,1,0,64.0,26.0
546,2,1,19.0,26.0
547,2,0,29.0,13.8625
548,3,0,33.0,20.525
549,2,0,8.0,36.75
550,1,0,17.0,110.8833
551,2,0,27.0,26.0
552,3,0,29.0,7.8292
553,3,0,22.0,7.225
554,3,1,22.0,7.775
555,1,0,62.0,26.55
556,1,1,48.0,39.6
557,1,0,29.0,227.525
558,1,1,39.0,79.65
559,3,1,36.0,17.4
560,3,0,29.0,7.75
561,3,0,40.0,7.8958
562,2,0,28.0,13.5
563,3,0,29.0,8.05
564,3,1,29.0,8.05
565,3,0,24.0,24.15
566,3,0,19.0,7.8958
567,3,1,29.0,21.075
568,3,0,29.0,7.2292
569,3,0,32.0,7.8542
570,2,0,62.0,10.5
571,1,1,53.0,51.4792
572,1,0,36.0,26.3875
573,3,1,29.0,7.75
574,3,0,16.0,8.05
575,3,0,19.0,14.5
576,2,1,34.0,13.0
577,1,1,39.0,55.9
578,3,1,29.0,14.4583
579,3,0,32.0,7.925
580,2,1,25.0,30.0
581,1,1,39.0,110.8833
582,2,0,54.0,26.0
583,1,0,36.0,40.125
584,3,0,29.0,8.7125
585,1,1,18.0,79.65
586,2,0,47.0,15.0
587,1,0,60.0,79.2
588,3,0,22.0,8.05
589,3,0,29.0,8.05
590,3,0,35.0,7.125
591,1,1,52.0,78.2667
592,3,0,47.0,7.25
593,3,1,29.0,7.75
594,2,0,37.0,26.0
595,3,0,36.0,24.15
596,2,1,29.0,33.0
597,3,0,49.0,0.0
598,3,0,29.0,7.225
599,1,0,49.0,56.9292
600,2,1,24.0,27.0
601,3,0,29.0,7.8958
602,1,0,29.0,42.4
603,3,0,44.0,8.05
604,1,0,35.0,26.55
605,3,0,36.0,15.55
606,3,0,30.0,7.8958
607,1,0,27.0,30.5
608,2,1,22.0,41.5792
609,1,1,40.0,153.4625
610,3,1,39.0,31.275
611,3,0,29.0,7.05
612,3,1,29.0,15.5
613,3,0,29.0,7.75
614,3,0,35.0,8.05
615,2,1,24.0,65.0
616,3,0,34.0,14.4
617,3,1,26.0,16.1
618,2,1,4.0,39.0
619,2,0,26.0,10.5
620,3,0,27.0,14.4542
621,1,0,42.0,52.5542
622,3,0,20.0,15.7417
623,3,0,21.0,7.8542
624,3,0,21.0,16.1
625,1,0,61.0,32.3208
626,2,0,57.0,12.35
627,1,1,21.0,77.9583
628,3,0,26.0,7.8958
629,3,0,29.0,7.7333
630,1,0,80.0,30.0
631,3,0,51.0,7.0542
632,1,0,32.0,30.5
633,1,0,29.0,0.0
634,3,1,9.0,27.9
635,2,1,28.0,13.0
636,3,0,32.0,7.925
637,2,0,31.0,26.25
638,3,1,41.0,39.6875
639,3,0,29.0,16.1
640,3,0,20.0,7.8542
641,1,1,24.0,69.3
642,3,1,2.0,27.9
643,3,0,29.0,56.4958
644,3,1,0.75,19.2583
645,1,0,48.0,76.7292
646,3,0,19.0,7.8958
647,1,0,56.0,35.5
648,3,0,29.0,7.55
649,3,1,23.0,7.55
650,3,0,29.0,7.8958
651,2,1,18.0,23.0
652,3,0,21.0,8.4333
653,3,1,29.0,7.8292
654,3,1,18.0,6.75
655,2,0,24.0,73.5
656,3,0,29.0,7.8958
657,3,1,32.0,15.5
658,2,0,23.0,13.0
659,1,0,58.0,113.275
660,1,0,50.0,133.65
661,3,0,40.0,7.225
662,1,0,47.0,25.5875
663,3,0,36.0,7.4958
664,3,0,20.0,7.925
665,2,0,32.0,73.5
666,2,0,25.0,13.0
667,3,0,29.0,7.775
668,3,0,43.0,8.05
669,1,1,29.0,52.0
670,2,1,40.0,39.0
671,1,0,31.0,52.0
672,2,0,70.0,10.5
673,2,0,31.0,13.0
674,2,0,29.0,0.0
675,3,0,18.0,7.775
676,3,0,24.5,8.05
677,3,1,18.0,9.8417
678,3,1,43.0,46.9
679,1,0,36.0,512.3292
680,3,1,29.0,8.1375
681,1,0,27.0,76.7292
682,3,0,20.0,9.225
683,3,0,14.0,46.9
684,2,0,60.0,39.0
685,2,0,25.0,41.5792
686,3,0,14.0,39.6875
687,3,0,19.0,10.1708
688,3,0,18.0,7.7958
689,1,1,15.0,211.3375
690,1,0,31.0,57.0
691,3,1,4.0,13.4167
692,3,0,29.0,56.4958
693,3,0,25.0,7.225
694,1,0,60.0,26.55
695,2,0,52.0,13.5
696,3,0,44.0,8.05
697,3,1,29.0,7.7333
698,1,0,49.0,110.8833
699,3,0,42.0,7.65
700,1,1,18.0,227.525
701,1,0,35.0,26.2875
702,3,1,18.0,14.4542
703,3,0,25.0,7.7417
704,3,0,26.0,7.8542
705,2,0,39.0,26.0
706,2,1,45.0,13.5
707,1,0,42.0,26.2875
708,1,1,22.0,151.55
709,3,0,29.0,15.2458
710,1,1,24.0,49.5042
711,1,0,29.0,26.55
712,1,0,48.0,52.0
713,3,0,29.0,9.4833
714,2,0,52.0,13.0
715,3,0,19.0,7.65
716,1,1,38.0,227.525
717,2,1,27.0,10.5
718,3,0,29.0,15.5
719,3,0,33.0,7.775
720,2,1,6.0,33.0
721,3,0,17.0,7.0542
722,2,0,34.0,13.0
723,2,0,50.0,13.0
724,1,0,27.0,53.1
725,3,0,20.0,8.6625
726,2,1,30.0,21.0
727,3,1,29.0,7.7375
728,2,0,25.0,26.0
729,3,1,25.0,7.925
730,1,1,29.0,211.3375
731,3,0,11.0,18.7875
732,2,0,29.0,0.0
733,2,0,23.0,13.0
734,2,0,23.0,13.0
735,3,0,28.5,16.1
736,3,1,48.0,34.375
737,1,0,35.0,512.3292
738,3,0,29.0,7.8958
739,3,0,29.0,7.8958
740,1,0,29.0,30.0
741,1,0,36.0,78.85
742,1,1,21.0,262.375
743,3,0,24.0,16.1
744,3,0,31.0,7.925
745,1,0,70.0,71.0
746,3,0,16.0,20.25
747,2,1,30.0,13.0
748,1,0,19.0,53.1
749,3,0,31.0,7.75
750,2,1,4.0,23.0
751,3,0,6.0,12.475
752,3,0,33.0,9.5
753,3,0,23.0,7.8958
754,2,1,48.0,65.0
755,2,0,0.67,14.5
756,3,0,28.0,7.7958
757,2,0,18.0,11.5
758,3,0,34.0,8.05
759,1,1,33.0,86.5
760,3,0,29.0,14.5
761,3,0,41.0,7.125
762,3,0,20.0,7.2292
763,1,1,36.0,120.0
764,3,0,16.0,7.775
765,1,1,51.0,77.9583
766,1,0,29.0,39.6
767,3,1,30.5,7.75
768,3,0,29.0,24.15
769,3,0,32.0,8.3625
770,3,0,24.0,9.5
771,3,0,48.0,7.8542
772,2,1,57.0,10.5
773,3,0,29.0,7.225
774,2,1,54.0,23.0
775,3,0,18.0,7.75
776,3,0,29.0,7.75
777,3,1,5.0,12.475
778,3,0,29.0,7.7375
779,1,1,43.0,211.3375
780,3,1,13.0,7.2292
781,1,1,17.0,57.0
782,1,0,29.0,30.0
783,3,0,29.0,23.45
784,3,0,25.0,7.05
785,3,0,25.0,7.25
786,3,1,18.0,7.4958
787,3,0,8.0,29.125
788,3,0,1.0,20.575
789,1,0,46.0,79.2
790,3,0,29.0,7.75
791,2,0,16.0,26.0
792,3,1,29.0,69.55
793,1,0,29.0,30.6958
794,3,0,25.0,7.8958
795,2,0,39.0,13.0
796,1,1,49.0,25.9292
797,3,1,31.0,8.6833
798,3,0,30.0,7.2292
799,3,1,30.0,24.15
800,2,0,34.0,13.0
801,2,1,31.0,26.25
802,1,0,11.0,120.0
803,3,0,0.42,8.5167
804,3,0,27.0,6.975
805,3,0,31.0,7.775
806,1,0,39.0,0.0
807,3,1,18.0,7.775
808,2,0,39.0,13.0
809,1,1,33.0,53.1
810,3,0,26.0,7.8875
811,3,0,39.0,24.15
812,2,0,35.0,10.5
813,3,1,6.0,31.275
814,3,0,30.5,8.05
815,1,0,29.0,0.0
816,3,1,23.0,7.925
817,2,0,31.0,37.0042
818,3,0,43.0,6.45
819,3,0,10.0,27.9
820,1,1,52.0,93.5
821,3,0,27.0,8.6625
822,1,0,38.0,0.0
823,3,1,27.0,12.475
824,3,0,2.0,39.6875
825,3,0,29.0,6.95
826,3,0,29.0,56.4958
827,2,0,1.0,37.0042
828,3,0,29.0,7.75
829,1,1,62.0,80.0
830,3,1,15.0,14.4542
831,2,0,0.83,18.75
832,3,0,29.0,7.2292
833,3,0,23.0,7.8542
834,3,0,18.0,8.3
835,1,1,39.0,83.1583
836,3,0,21.0,8.6625
837,3,0,29.0,8.05
838,3,0,32.0,56.4958
839,1,0,29.0,29.7
840,3,0,20.0,7.925
841,2,0,16.0,10.5
842,1,1,30.0,31.0
843,3,0,34.5,6.4375
844,3,0,17.0,8.6625
845,3,0,42.0,7.55
846,3,0,29.0,69.55
847,3,0,35.0,7.8958
848,2,0,28.0,33.0
849,1,1,29.0,89.1042
850,3,0,4.0,31.275
851,3,0,74.0,7.775
852,3,1,9.0,15.2458
853,1,1,16.0,39.4
854,2,1,44.0,26.0
855,3,1,18.0,9.35
856,1,1,45.0,164.8667
857,1,0,51.0,26.55
858,3,1,24.0,19.2583
859,3,0,29.0,7.2292
860,3,0,41.0,14.1083
861,2,0,21.0,11.5
862,1,1,48.0,25.9292
863,3,1,29.0,69.55
864,2,0,24.0,13.0
865,2,1,42.0,13.0
866,2,1,27.0,13.8583
867,1,0,31.0,50.4958
868,3,0,29.0,9.5
869,3,0,4.0,11.1333
870,3,0,26.0,7.8958
871,1,1,47.0,52.5542
872,1,0,33.0,5.0
873,3,0,47.0,9.0
874,2,1,28.0,24.0
875,3,1,15.0,7.225
876,3,0,20.0,9.8458
877,3,0,19.0,7.8958
878,3,0,29.0,7.8958
879,1,1,56.0,83.1583
880,2,1,25.0,26.0
881,3,0,33.0,7.8958
882,3,1,22.0,10.5167
883,2,0,28.0,10.5
884,3,0,25.0,7.05
885,3,1,39.0,29.125
886,2,0,27.0,13.0
887,1,1,19.0,30.0
888,3,1,29.0,23.45
889,1,0,26.0,30.0
890,3,0,32.0,7.75
